jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: Installing and starting initial bundles
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main launch
INFORMACIÓN: All initial bundles installed and set to start
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Trying to lock C:\Users\USER\Downloads\apache-karaf-4.4.6\apache-karaf-4.4.6\lock
jun 28, 2024 7:59:26 PM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMACIÓN: Lock acquired
jun 28, 2024 7:59:26 PM org.apache.karaf.main.Main$KarafLockCallback lockAcquired
INFORMACIÓN: Lock acquired. Setting startlevel to 100
2024-06-28T19:59:29,791 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.shell/org.apache.karaf.shell.ssh/4.4.6
2024-06-28T19:59:29,798 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.karaf.system/org.apache.karaf.system.core/4.4.6
2024-06-28T19:59:29,806 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.sshd/sshd-osgi/2.12.1
2024-06-28T19:59:29,826 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.sshd/sshd-scp/2.12.1
2024-06-28T19:59:29,833 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.apache.sshd/sshd-sftp/2.12.1
2024-06-28T19:59:29,849 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.jline/jline/3.21.0
2024-06-28T19:59:29,857 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   mvn:org.ops4j.pax.url/pax-url-wrap/2.6.14/jar/uber
2024-06-28T19:59:30,049 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 | Starting bundles:
2024-06-28T19:59:30,051 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.ops4j.pax.url.wrap/2.6.14
2024-06-28T19:59:30,060 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.aries.util/1.1.3
2024-06-28T19:59:30,062 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.deployer.kar/4.4.6
2024-06-28T19:59:30,068 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.deployer.wrap/4.4.6
2024-06-28T19:59:30,076 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.deployer.features/4.4.6
2024-06-28T19:59:30,092 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.jaas.config/4.4.6
2024-06-28T19:59:30,106 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.jaas.modules/4.4.6
2024-06-28T19:59:30,116 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   bcprov/1.77.0
2024-06-28T19:59:30,119 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   bcutil/1.77.0
2024-06-28T19:59:30,121 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   bcpkix/1.77.0
2024-06-28T19:59:30,122 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.sshd.osgi/2.12.1
2024-06-28T19:59:30,123 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.sshd.scp/2.12.1
2024-06-28T19:59:30,124 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.sshd.sftp/2.12.1
2024-06-28T19:59:30,126 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.jline/3.21.0
2024-06-28T19:59:30,127 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.shell.core/4.4.6
2024-06-28T19:59:30,312 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.deployer.kar/4.4.6
2024-06-28T19:59:30,498 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.jaas.command/4.4.6
2024-06-28T19:59:30,533 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.jaas.command/4.4.6
2024-06-28T19:59:30,536 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.6
2024-06-28T19:59:30,541 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Updating commands for bundle org.apache.karaf.jaas.command/4.4.6
2024-06-28T19:59:30,542 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.shell.commands/4.4.6
2024-06-28T19:59:30,565 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.shell.commands/4.4.6
2024-06-28T19:59:30,566 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Updating commands for bundle org.apache.karaf.shell.commands/4.4.6
2024-06-28T19:59:30,566 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.features.command/4.4.6
2024-06-28T19:59:30,600 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.features.command/4.4.6
2024-06-28T19:59:30,602 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.aries.jmx.whiteboard/1.2.0
2024-06-28T19:59:30,611 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.kar.core/4.4.6
2024-06-28T19:59:30,622 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Command registration delayed for bundle org.apache.karaf.kar.core/4.4.6. Missing service: [org.apache.karaf.kar.KarService]
2024-06-28T19:59:30,624 | INFO  | activator-1-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.kar.core/4.4.6
2024-06-28T19:59:30,625 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.log.core/4.4.6
2024-06-28T19:59:30,641 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.log.core/4.4.6
2024-06-28T19:59:30,646 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.service.core/4.4.6
2024-06-28T19:59:30,660 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.service.core/4.4.6
2024-06-28T19:59:30,661 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.management.server/4.4.6
2024-06-28T19:59:30,669 | INFO  | features-3-thread-1 | FeaturesServiceImpl              | 19 - org.apache.karaf.features.core - 4.4.6 |   org.apache.karaf.system.core/4.4.6
2024-06-28T19:59:30,672 | INFO  | activator-1-thread-1 | Activator                        | 41 - org.apache.karaf.management.server - 4.4.6 | Setting java.rmi.server.hostname system property to 127.0.0.1
2024-06-28T19:59:30,691 | INFO  | features-3-thread-1 | CommandExtension                 | 45 - org.apache.karaf.shell.core - 4.4.6 | Registering commands for bundle org.apache.karaf.system.core/4.4.6
